trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
28,False,"{'a': 0.5, 'e': 0.5827482523739896}",30,0,-60.38585314450202,"{0: 25, 1: 1, 2: 1, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-41.87901947304784,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.559898366565402}",20,1,-70.09671743365483,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.5488116360940265}",30,15,-33.805055821722554,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-109.37960152022576,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,10,-45.16159988470476,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,-22.091361656330218,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,14,-1.9718320473995978,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,7,10.975904378880589,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,9,-43.9305675983858,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.4771139155210344}",25,0,-35.159255349588236,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.46766642700990924}",35,0,-153.9553345915475,"{0: 27, 1: 0, 2: 3, 3: 2, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,10,-8.307140352116923,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,14,2.1785135837698064,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,0,-41.69852363979274,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,0,-88.06783691433688,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,5,-23.84051276097159,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,16,5.641282674996412,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.4065696597405991}",25,13,10.73743936110725,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.39851904108451414}",30,21,17.869939303181393,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.3906278353585211}",25,0,3.7589744320190324,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,12,-5.619510386524988,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.37531109885139957}",20,11,-6.294706782401084,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,11,-7.719398135174186,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.3605949401730783}",30,5,5.465646015166747,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.35345468195878016}",25,18,7.477947139217296,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,10,17.805416330921833,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,3,-64.69791886409516,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 2}",1
56,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,8,-32.63514029548888,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,0,-4.149878216133946,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.31981902181630384}",25,0,-117.1011643579674,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,13,14.798025969277408,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.30727873860113125}",25,0,-41.46503306585571,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.30119421191220214}",30,0,-14.443343122378037,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,4,-2.859410426571407,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.2893842179390506}",25,7,9.115466508411274,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,11,-25.48885258501672,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,9,14.50245776908094,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.2725317930340126}",30,11,-35.963832508136576,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.26713530196585034}",30,11,14.62709781453724,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.261845668580326}",30,11,-19.12338421840645,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,0,31.048633886557695,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.25157855305975646}",25,13,-6.526929755729447,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.24659696394160643}",25,13,23.559175276955546,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
